期号,红球号码1,红球号码2,红球号码3,红球号码4,红球号码5,红球号码6,蓝球,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,开奖日期
21012,03,06,14,18,20,26,01,"862,128,803",17,"5,854,248",218,"83,269","365,486,356",2021-01-28
21011,05,10,16,23,27,33,14,"907,192,691",18,"5,425,200",228,"41,960","358,439,884",2021-01-26
21010,01,04,11,19,32,33,05,"976,145,268",7,"8,060,622",129,"207,600","394,795,416",2021-01-24
21009,02,04,07,24,25,32,13,"952,228,282",4,"10,000,000",57,"502,273","367,324,734",2021-01-21
21008,01,05,07,14,18,33,07,"906,339,544",4,"8,728,131",86,"216,751","358,122,646",2021-01-19
21007,02,04,12,21,25,32,16,"885,330,100",3,"10,000,000",104,"298,114","389,232,822",2021-01-17
21006,06,08,22,24,25,26,01,"822,318,331",10,"7,377,222",194,"153,171","367,900,704",2021-01-14
21005,07,09,14,26,30,31,04,"806,944,718",14,"6,353,946",76,"311,764","359,757,108",2021-01-12
21004,02,03,07,08,17,22,15,"824,817,771",2,"10,000,000",208,"145,638","396,531,778",2021-01-10
21003,06,09,16,18,22,29,11,"753,939,585",5,"9,406,368",136,"202,498","360,514,540",2021-01-07
21002,06,10,13,25,26,32,11,"718,352,017",10,"7,105,919",185,"142,291","374,374,440",2021-01-05
21001,02,03,13,18,20,31,11,"710,439,245",10,"7,034,106",126,"201,796","411,170,524",2021-01-03
20134,02,09,10,20,22,26,01,"704,501,324",48,"5,382,786",275,"83,517","399,565,532",2020-12-31
20133,03,19,22,23,27,29,07,"893,973,468",3,"10,000,000",99,"283,877","370,330,222",2020-12-29
20132,01,04,11,12,14,23,04,"839,661,890",5,"10,000,000",106,"309,129","425,174,496",2020-12-27
20131,08,19,22,26,27,30,07,"791,358,796",10,"6,733,037",139,"155,848","394,370,394",2020-12-24
20130,08,09,11,14,17,29,16,"793,700,272",9,"7,096,662",160,"147,421","405,085,034",2020-12-22
20129,01,02,05,15,28,33,04,"786,807,887",14,"6,613,195",116,"243,370","428,354,318",2020-12-20
20128,08,10,15,16,23,26,10,"794,699,858",14,"6,055,174",137,"134,785","395,094,864",2020-12-17
20127,01,04,18,19,26,31,07,"824,075,658",9,"6,838,584",183,"113,027","385,288,238",2020-12-15
20126,03,07,12,14,23,28,11,"823,570,698",33,"5,506,107",337,"61,949","423,827,948",2020-12-13
20125,05,12,16,26,30,31,13,"942,641,447",8,"8,008,557",162,"185,713","403,248,064",2020-12-10
20124,16,18,19,20,29,33,12,"916,453,174",3,"10,000,000",53,"485,568","394,367,604",2020-12-08
20123,01,03,18,19,26,29,03,"869,247,735",5,"10,000,000",106,"343,394","442,277,628",2020-12-06
20122,12,15,17,24,26,31,15,"810,048,147",7,"8,506,055",484,"63,384","416,050,434",2020-12-03
20121,02,04,06,21,25,29,03,"777,556,587",5,"9,656,537",91,"319,817","425,615,038",2020-12-01
20120,01,02,03,04,09,10,12,"738,529,199",28,"5,529,239",535,"34,623","470,788,664",2020-11-29
20119,01,09,22,28,32,33,15,"837,777,744",12,"6,880,004",117,"241,026","432,978,556",2020-11-26
20118,11,13,19,26,30,33,05,"835,737,606",4,"10,000,000",114,"262,410","419,968,358",2020-11-24
20117,07,08,09,10,16,27,07,"785,993,086",19,"5,762,819",225,"80,519","460,145,954",2020-11-22
